src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
49.142.91.110,172.31.41.155,10441,5000,6,2022-12-11 10:30:32,22673.368453979492,29329.56350750271,308.7322474473969,176.41842711279824,132.3138203345987,4,3,459,206,234.0,66.0,114.75,69.17866361819951,74.0,66.0,68.66666666666667,3.7712361663282534,234,66,95.0,57.10391530234282,3260.8571428571427,80,60,20,2,3778.8947423299155,11359.691619873047,0.2384185791015625,5330.232381184357,22664.546966552734,11368.513107299805,0.2384185791015625,7554.848988850911,5341.998852870637,22664.546966552734,11381.62612915039,11282.920837402344,11332.273483276367,49.35264587402344,0,0,0,0,1,0,0,0,0,0,0,0.75,95.0,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.75,68.66666666666667,0,4,3,459,206
49.142.91.110,172.31.41.155,10445,5000,6,2022-12-11 10:30:32,22710.323333740234,28621.34503537909,308.22986961177486,176.13135406387133,132.0985155479035,4,3,444,206,218.0,66.0,111.0,62.185207244167,74.0,66.0,68.66666666666667,3.7712361663282534,218,66,92.85714285714286,51.5237215033136,2654.6938775510203,80,60,20,2,3785.0538889567056,11417.388916015625,0.0,5332.15787174679,22702.932357788086,11445.999145507812,0.0,7567.644119262695,5351.689117692048,22681.713104248047,11440.753936767578,11240.959167480469,11340.856552124023,99.89738464355469,0,0,0,0,1,0,0,0,0,0,0,0.75,92.85714285714286,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,68.66666666666667,0,4,3,444,206
49.142.91.110,172.31.41.155,10447,5000,6,2022-12-11 10:30:32,22698.163986206055,28856.959549594027,308.3949875529132,176.2257071730933,132.16928037981995,4,3,449,206,222.0,66.0,112.25,63.80585788154564,74.0,66.0,68.66666666666667,3.7712361663282534,222,66,93.57142857142857,52.893038004899616,2797.673469387755,80,60,20,2,3783.0273310343423,11378.049850463867,0.2384185791015625,5336.76439735341,22691.24984741211,11396.88491821289,0.2384185791015625,7563.74994913737,5348.374820276322,22686.481475830078,11384.963989257812,11301.517486572266,11343.240737915039,41.72325134277344,0,0,0,0,1,0,0,0,0,0,0,0.75,93.57142857142857,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.25,68.66666666666667,0,4,3,449,206
49.142.91.110,172.31.41.155,10453,5000,6,2022-12-11 10:30:32,24740.45753479004,26919.46982239397,282.9373705056423,161.67849743179562,121.25887307384671,4,3,460,206,233.0,66.0,115.0,68.5383104548106,74.0,66.0,68.66666666666667,3.7712361663282534,233,66,95.14285714285714,56.710867115391494,3216.1224489795923,80,60,20,2,4123.409589131673,12386.322021484375,0.0,5817.093394842524,24733.781814575195,12408.256530761719,0.0,8244.593938191732,5829.906118115242,24728.53660583496,12392.997741699219,12335.538864135742,12364.26830291748,28.72943878173828,0,0,0,0,1,0,0,0,0,0,0,0.75,95.14285714285714,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,68.66666666666667,0,4,3,460,206
49.142.91.110,172.31.41.155,10463,5000,6,2022-12-11 10:30:32,24989.12811279297,26611.572720680837,280.1218181124299,160.06961034995993,120.05220776246995,4,3,459,206,233.0,66.0,114.75,68.64173293267005,74.0,66.0,68.66666666666667,3.7712361663282534,233,66,95.0,56.73245480826146,3218.5714285714284,80,60,20,2,4164.854685465495,12583.732604980469,0.2384185791015625,5867.666205272407,24976.730346679688,12624.979019165039,0.2384185791015625,8325.576782226562,5887.961734492741,24978.6376953125,12596.13037109375,12382.50732421875,12489.31884765625,106.8115234375,0,0,0,0,1,0,0,0,0,0,0,0.75,95.0,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.75,68.66666666666667,0,4,3,459,206
49.142.91.110,172.31.41.155,10465,5000,6,2022-12-11 10:30:32,25225.63934326172,24498.883520471816,277.4954444066387,158.5688253752221,118.92661903141658,4,3,412,206,186.0,66.0,103.0,48.4458460551573,74.0,66.0,68.66666666666667,3.7712361663282534,186,66,88.28571428571429,40.44648770099746,1635.9183673469386,80,60,20,2,4204.273223876953,12792.587280273438,0.0,5923.345293479001,25215.38734436035,12831.926345825195,0.0,8405.129114786783,5946.143112366051,25208.234786987305,12802.839279174805,12405.3955078125,12604.117393493652,198.72188568115234,0,0,0,0,1,0,0,0,0,0,0,0.75,88.28571428571429,64240,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,68.66666666666667,0,4,3,412,206
49.142.91.110,172.31.41.155,10469,5000,6,2022-12-11 10:30:32,23130.416870117188,26847.765152139855,302.6318133091449,172.9324647480828,129.6993485610621,4,3,415,206,189.0,66.0,103.75,49.73115220865087,74.0,66.0,68.66666666666667,3.7712361663282534,189,66,88.71428571428571,41.48223125874597,1720.7755102040815,80,60,20,2,3855.0694783528647,11595.24917602539,0.2384185791015625,5431.855946302143,23105.859756469727,11606.454849243164,0.2384185791015625,7701.953252156575,5446.110920120907,23119.211196899414,11616.46842956543,11502.742767333984,11559.605598449707,56.862831115722656,0,0,0,0,1,0,0,0,0,0,0,0.75,88.71428571428571,64240,509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.75,68.66666666666667,0,4,3,415,206
49.142.91.110,172.31.41.155,10473,5000,6,2022-12-11 10:30:32,22958.27865600586,29009.14349803726,304.90090763702824,174.22909007830188,130.6718175587264,4,3,460,206,234.0,66.0,115.0,69.0724257573165,74.0,66.0,68.66666666666667,3.7712361663282534,234,66,95.14285714285714,57.079965390490486,3258.122448979592,80,60,20,2,3826.3797760009766,11369.22836303711,6.4373016357421875,5291.92174209383,22951.841354370117,11376.380920410156,286.102294921875,7650.613784790039,5207.617200116229,22917.509078979492,11541.84341430664,11375.665664672852,11458.754539489746,83.08887481689453,0,0,0,0,1,0,0,0,0,0,0,0.75,95.14285714285714,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,68.66666666666667,0,4,3,460,206
49.142.91.110,172.31.41.155,10477,5000,6,2022-12-11 10:30:32,24742.603302001953,26634.222436354525,282.9128331630981,161.66447609319894,121.24835706989921,4,3,453,206,226.0,66.0,113.25,65.52623520392423,74.0,66.0,68.66666666666667,3.7712361663282534,226,66,94.14285714285714,54.28082684765686,2946.408163265306,80,60,20,2,4123.767217000325,12408.971786499023,0.2384185791015625,5812.966990140846,24735.450744628906,12444.496154785156,0.2384185791015625,8245.150248209635,5830.37107907773,24731.63604736328,12416.12434387207,12315.511703491211,12365.81802368164,50.30632019042969,0,0,0,0,1,0,0,0,0,0,0,0.75,94.14285714285714,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.25,68.66666666666667,0,4,3,453,206
49.142.91.110,172.31.41.155,10479,5000,6,2022-12-11 10:30:32,22990.703582763672,28446.280369179716,304.47089080161777,173.98336617235302,130.48752462926475,4,3,448,206,222.0,66.0,112.0,63.90618123468183,74.0,66.0,68.66666666666667,3.7712361663282534,222,66,93.42857142857143,52.91194070706304,2799.6734693877547,80,60,20,2,3831.783930460612,11625.528335571289,0.0,5400.677979250092,22981.643676757812,11649.847030639648,0.0,7660.5478922526045,5418.381340024924,22966.384887695312,11646.032333374023,11320.352554321289,11483.192443847656,162.8398895263672,0,0,0,0,1,0,0,0,0,0,0,0.75,93.42857142857143,64240,508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,68.66666666666667,0,4,3,448,206
